Team,Over Record,Over %,Under %,Total +/-
UT Rio Grande,18-19-1,48.7%,51.4%,-1.1
Idaho,52-55-0,48.6%,51.4%,-1.0
Tennessee St,51-54-0,48.6%,51.4%,+1.4
Milwaukee,68-72-1,48.6%,51.4%,-0.2
Niagara,67-71-4,48.6%,51.5%,+1.0
Towson,49-52-1,48.5%,51.5%,+1.5
Tarleton St,16-17-0,48.5%,51.5%,+4.9
Winthrop,32-34-0,48.5%,51.5%,+1.4
SE Missouri St,47-50-1,48.5%,51.6%,+2.0
J Madison,45-48-2,48.4%,51.6%,-1.6
Valparaiso,59-63-1,48.4%,51.6%,+0.2
Bowling Green,58-62-3,48.3%,51.7%,+0.3
Montana,58-62-1,48.3%,51.7%,+0.3
Colorado,72-77-0,48.3%,51.7%,+1.7
Utah Tech,13-14-0,48.2%,51.9%,-1.2
Missouri,76-82-1,48.1%,51.9%,+0.5
Michigan St,112-121-3,48.1%,51.9%,-0.8
Jackson St,24-26-0,48.0%,52.0%,-0.4
Ohio St,108-117-3,48.0%,52.0%,-0.5
UC Davis,47-51-2,48.0%,52.0%,+0.5
Kansas City,23-25-1,47.9%,52.1%,-1.2
Ball St,56-61-2,47.9%,52.1%,-2.3
West Virginia,89-97-3,47.9%,52.2%,+0.6
Texas A&M-CC,22-24-1,47.8%,52.2%,+1.4
TCU,76-83-5,47.8%,52.2%,-0.6
Virginia,97-106-1,47.8%,52.2%,0.0
Houston,73-80-3,47.7%,52.3%,-0.9
Rider,73-80-3,47.7%,52.3%,0.0
UMBC,31-34-0,47.7%,52.3%,+0.5
Syracuse,102-112-4,47.7%,52.3%,-0.4
Florida St,93-103-4,47.5%,52.6%,+0.8
Miss Valley St,27-30-1,47.4%,52.6%,-1.5
Cleveland St,61-68-3,47.3%,52.7%,+0.6
N Illinois,52-58-1,47.3%,52.7%,+1.0
LIU,17-19-0,47.2%,52.8%,-1.1
Murray St,59-66-0,47.2%,52.8%,-1.0
Alabama,84-94-1,47.2%,52.8%,-0.4
Iowa St,75-84-1,47.2%,52.8%,-0.4
E Kentucky,50-56-3,47.2%,52.8%,+0.5
Oregon,74-83-3,47.1%,52.9%,-0.3
Presbyterian,24-27-0,47.1%,52.9%,-0.4
Mt St Mary's,24-27-0,47.1%,52.9%,0.0
Miami OH,63-71-2,47.0%,53.0%,+0.3
Seton Hall,94-106-2,47.0%,53.0%,+0.5
Seattle,37-42-3,46.8%,53.2%,-0.9
Kansas,103-117-2,46.8%,53.2%,+0.4
Tulsa,72-82-2,46.8%,53.3%,+0.1
Yale,36-41-1,46.8%,53.3%,-0.6
AR-Pine Bluff,21-24-0,46.7%,53.3%,+0.1
NW State,21-24-0,46.7%,53.3%,-1.1
W Carolina,49-56-1,46.7%,53.3%,-0.2
McNeese,20-23-1,46.5%,53.5%,+3.7
Cal Poly,52-60-2,46.4%,53.6%,+0.8
S Illinois,70-81-0,46.4%,53.6%,-0.9
