Rank,Hotness Score,Matchup,Time,Location
1,92.1,#2 Boston  at  #8 New York,7:30 PM,Madison Square Garden
1,92.1,#5 Minnesota  at  #11 Milwaukee,8:00 PM,Fiserv Forum
3,77.0,#10 Golden State  at  #19 Phoenix,10:00 PM,PHX Arena
4,76.0,#13 LA Lakers  at  #1 Okla City,8:00 PM,Paycom Center
5,71.1,#20 Atlanta  at  #18 Orlando,7:00 PM,Kia Center
6,69.7,#21 San Antonio  at  #7 LA Clippers,10:30 PM,Intuit Dome
7,65.9,#22 Chicago  at  #3 Cleveland,7:00 PM,Rocket Arena
8,59.0,#6 Memphis  at  #28 Charlotte,7:00 PM,Spectrum Center
9,53.4,#26 New Orleans  at  #27 Brooklyn,7:30 PM,Barclays Center
10,44.5,#30 Washington  at  #12 Indiana,7:00 PM,Gainbridge Fieldhouse
