Rank,Hotness Score,Matchup,Time,Location
1,92.9,#7 Denver  at  #6 New York,7:30 PM,Madison Square Garden
2,80.4,#9 Minnesota  at  #18 Phoenix,9:00 PM,Footprint Center
3,79.2,#3 Cleveland  at  #15 Miami,7:30 PM,Kaseya Center
4,78.8,#10 LA Clippers  at  #19 San Antonio,8:00 PM,Frost Bank Center
5,77.0,#1 Okla City  at  #14 Golden State,10:00 PM,Chase Center
6,75.2,#12 Sacramento  at  #20 Philadelphia,7:30 PM,Wells Fargo Center
7,72.2,#21 Detroit  at  #13 Indiana,7:00 PM,Gainbridge Fieldhouse
8,65.5,#23 Chicago  at  #2 Boston,7:30 PM,TD Garden
9,62.4,#8 Dallas  at  #26 New Orleans,8:00 PM,Smoothie King Center
10,52.8,#29 Brooklyn  at  #25 Charlotte,7:00 PM,Spectrum Center
11,41.3,#24 Toronto  at  #30 Washington,7:00 PM,Capital One Arena
