Rank,Hotness Score,Matchup,Time,Location
1,95.6,#12 Michigan St  at  #61 Iowa,8:00 PM,Carver-Hawkeye Arena
2,85.0,#105 Florida Atlantic  at  #100 UAB,7:00 PM,Bartow Arena
3,83.8,#93 Liberty  at  #125 Middle Tenn,7:30 PM,Murphy Center
4,76.7,#152 New Mexico St  at  #123 Louisiana Tech,7:30 PM,Thomas Assembly Center
5,75.2,#120 CS Northridge  at  #169 UC Riverside,10:00 PM,SRC Arena
6,72.8,#149 Tulane  at  #159 E Carolina,7:00 PM,Williams Arena at Minges Coliseum
7,72.4,#119 Wichita St  at  #189 Rice,8:00 PM,Tudor Fieldhouse
8,69.4,#82 UC Irvine  at  #230 UC Davis,9:00 PM,University Credit Union Center
9,68.8,#162 UTEP  at  #177 Sam Houston,7:30 PM,Bernard G. Johnson Coliseum
10,68.3,#235 Charlotte  at  #78 N Texas,9:00 PM,UNT Coliseum
11,68.2,#151 Purdue FW  at  #191 Youngstown St,7:00 PM,Zidian Family Arena at Beeghly Center
12,67.5,#207 Jacksonville  at  #134 N Alabama,7:00 PM,CB&S Bank Arena at Flowers Hall
13,67.1,#117 Utah Valley  at  #225 Abl Christian,8:00 PM,Moody Coliseum
14,67.0,#233 Queens  at  #99 Lipscomb,8:00 PM,Allen Arena
15,66.7,#210 Oakland  at  #136 Milwaukee,8:00 PM,Klotsche Center
16,63.9,#227 Missouri St  vs.  #138 Illinois St,3:30 PM,Enterprise Center
17,63.4,#181 Indiana St  vs.  #196 S Illinois,1:00 PM,Enterprise Center
18,63.1,#240 Evansville  vs.  #129 Murray St,7:00 PM,Enterprise Center
19,62.7,#223 Valparaiso  vs.  #153 Illinois Chicago,9:30 PM,Enterprise Center
20,58.9,#220 Wright St  at  #183 Robert Morris,8:00 PM,UPMC Events Center
21,58.4,#234 N Kentucky  at  #171 Cleveland St,8:00 PM,Wolstein Center
22,56.3,#314 Long Beach St  at  #52 UCSD,10:00 PM,LionTree Arena
23,55.5,#269 Florida Intl  at  #147 W Kentucky,8:00 PM,E.A. Diddle Arena
24,54.5,#305 Utah Tech  at  #95 Grand Canyon,9:00 PM,Global Credit Union Arena at GCU
25,54.0,#226 Kansas City  vs.  #211 Omaha,7:00 PM,Denny Sanford Premier Center
26,53.4,#204 Merrimack  at  #238 Marist,7:00 PM,McCann Arena
27,53.2,#142 Seattle  at  #289 S Utah,8:30 PM,America First Events Center
28,50.1,#254 Mt St Mary's  at  #206 Quinnipiac,7:00 PM,M&T Bank Arena
29,49.8,#288 Tarleton St  at  #166 Cal Baptist,10:00 PM,Dale E. and Sarah Ann Fowler Events Center
30,47.4,#232 Hawai'i  at  #248 CS Bakersfield,9:30 PM,Icardo Center
31,46.7,#294 Old Dominion  vs.  #182 Texas St,8:30 PM,Pensacola Bay Center
31,46.7,#170 Norfolk St  at  #303 Howard,7:30 PM,Burr Gymnasium
33,46.3,#323 Denver  vs.  #141 St Thomas,9:30 PM,Denny Sanford Premier Center
34,46.2,#283 NC Central  at  #195 S Carolina St,7:30 PM,Smith-Hammond Middleton Memorial Center
35,42.6,#250 Georgia So  vs.  #259 Georgia St,6:00 PM,Pensacola Bay Center
36,40.9,#293 Alabama St  at  #219 Southern,9:00 PM,F. G. Clark Activity Center
37,39.0,#266 Sacred Heart  at  #263 Manhattan,7:00 PM,Draddy Gymnasium
38,38.3,#282 Lafayette  at  #249 American,7:00 PM,Bender Arena
39,38.1,#312 Loyola MD  at  #215 Bucknell,7:00 PM,Sojka Pavilion
40,37.9,#296 UT Martin  vs.  #237 Little Rock,7:00 PM,Ford Center
41,35.2,#304 Army  at  #244 Colgate,7:00 PM,Cotterell Court
42,34.1,#273 Navy  at  #284 Boston U,7:00 PM,Case Gym
43,31.2,#318 Niagara  at  #252 Saint Peter's,7:00 PM,Victor R. Yanitelli Recreation Life Center
44,30.4,#326 Fairfield  at  #246 Siena,7:00 PM,MVP Arena
45,28.1,#327 Lindenwood  vs.  #261 Tennessee St,9:30 PM,Ford Center
46,25.2,#352 CS Fullerton  at  #245 Cal Poly,10:00 PM,Mott Athletics Center
47,23.9,#301 Pacific  vs.  #313 San Diego,5:30 PM,Orleans Areana
48,18.0,#274 Jackson St  at  #363 AR-Pine Bluff,8:00 PM,H.O. Clemmons Arena (K. L. Johnson Complex)
49,14.5,#360 Maryland ES  at  #298 Delaware St,7:30 PM,Memorial Hall/Bayhealth Court
50,14.2,#355 Canisius  at  #306 Rider,7:00 PM,Alumni Gymnasium
51,12.4,#357 Alabama A&M  at  #315 Grambling,9:30 PM,Willis Reed Court at the Fredrick C. Hobdy Center
52,8.2,#332 Morgan St  at  #362 Coppin St,8:00 PM,Physical Education Complex
53,6.9,#331 Alcorn St  at  #364 Miss Valley St,8:30 PM,Harrison HPER Complex
