Rank,Hotness Score,Matchup,Time,Location
1,95.8,#58 USC  at  #11 Maryland,8:30 PM,Xfinity Center
2,95.5,#55 Northwestern  at  #24 Ohio St,6:30 PM,Value City Arena
3,83.3,#137 Cal St Nrdge  at  #75 UC Irvine,10:00 PM,Bren Events Center
4,82.8,#125 Wichita St  at  #99 Fla Atlantic,9:00 PM,Abessinio Court at Eleanor R. Baldwin Arena
5,80.6,#164 Loyola Mymt  at  #64 Santa Clara,11:00 PM,Leavey Center
6,80.5,#142 N Alabama  at  #101 Lipscomb,8:00 PM,Allen Arena
7,78.3,#143 LA Tech  at  #120 Middle Tenn,9:00 PM,Murphy Center
8,72.8,#176 N Mex State  at  #127 Jksnville St,7:00 PM,Pete Mathews Coliseum
9,72.5,#180 Sam Hous St  at  #126 W Kentucky,9:00 PM,E.A. Diddle Arena
10,71.5,#152 TX El Paso  at  #166 Kennesaw St,7:00 PM,KSU Convocation Center
11,70.2,#149 Towson  at  #179 Elon,7:00 PM,Schar Center
12,68.2,#146 Col Charlestn  at  #195 Northeastrn,7:00 PM,Matthews Arena
13,67.3,#129 Bryant  at  #215 Vermont,7:00 PM,Patrick Gymnasium
14,67.0,#89 Oregon St  at  #240 Pepperdine,10:00 PM,Firestone Fieldhouse
15,66.1,#59 UCSD  at  #260 Cal Poly,10:00 PM,Mott Athletics Center
16,65.3,#167 NC-Asheville  at  #196 Radford,7:00 PM,Carilion Clinic Court at the Dedmon Center
17,59.2,#290 Pacific  at  #73 San Francisco,10:00 PM,War Memorial at the Sobrato Center
18,56.8,#254 Georgia St  at  #156 James Mad,7:00 PM,Atlantic Union Bank Center
19,56.6,#267 GA Southern  at  #141 App State,6:30 PM,Holmes Convocation Center
20,55.5,#189 Drexel  at  #239 Delaware,6:30 PM,Bob Carpenter Center
21,55.3,#261 E Washingtn  at  #158 N Colorado,8:00 PM,Bank of Colorado Arena
22,55.1,#201 Portland St  at  #231 Idaho St,9:00 PM,Holt Arena
23,53.4,#303 Louisiana  at  #110 Troy,7:00 PM,Trojan Arena
24,52.0,#121 Utah Valley  at  #307 Utah Tech,9:00 PM,Burns Arena
25,51.0,#186 Maine  at  #268 Albany,6:30 PM,Broadview Center
26,50.3,#258 Maryland BC  at  #200 Mass Lowell,6:00 PM,Costello Athletic Center
27,49.4,#264 Monmouth  at  #199 Hofstra,7:00 PM,David S. Mack Sports Complex
28,49.1,#245 CS Bakersfld  at  #222 UC Davis,9:00 PM,University Credit Union Center
29,48.2,#207 Jacksonville  at  #266 N Florida,8:00 PM,UNF Arena
30,43.8,#198 Marshall  at  #298 Old Dominion,5:00 PM,Chartway Arena at the Ted Constant Convocation Cen
31,43.5,#318 Lg Beach St  at  #168 UC Riverside,10:00 PM,SRC Arena
32,43.1,#274 S Utah  at  #228 Abl Christian,8:00 PM,Moody Coliseum
33,40.9,#185 Campbell  at  #322 NC A&T,7:00 PM,Corbett Sports Center
34,40.8,#270 Idaho  at  #248 N Arizona,8:00 PM,Findlay Toyota Court at J. Lawrence Walkup Skydome
35,39.8,#344 CS Fullerton  at  #157 UCSB,10:00 PM,The Thunderdome
36,38.4,#295 Austin Peay  at  #234 Queens,7:00 PM,Curry Arena
37,36.5,#170 Fla Gulf Cst  at  #354 Stetson,7:00 PM,Insight Credit Union Arena at Edmunds Center
38,34.7,#237 SIU Edward  at  #314 Morehead St,7:30 PM,Ellis T. Johnson Arena
39,32.6,#331 Lindenwood  at  #226 AR Lit Rock,8:00 PM,Jack Stephens Center
40,32.5,#188 Central Conn  at  #360 Chicago St,7:00 PM,Emil and Patricia Jones Convocation Center
41,32.1,#204 E Kentucky  at  #350 Bellarmine,6:30 PM,Knights Hall
42,29.5,#343 W Illinois  at  #229 SE Missouri,8:30 PM,Show Me Center
43,25.9,#336 Sac State  at  #262 Weber St,9:00 PM,Dee Events Center
44,25.6,#292 TN Martin  at  #312 TN Tech,8:30 PM,Hooper Eblen Center
45,24.0,#328 Coastal Car  at  #282 S Mississippi,8:00 PM,Reed Green Coliseum
46,16.8,#317 Stonehill  at  #334 Wagner,7:00 PM,Spiro Sports Center
47,16.3,#306 F Dickinson  at  #348 Mercyhurst,7:00 PM,Owen McCormick Court at the Mercyhurst Athletic
48,14.1,#357 N Hampshire  at  #304 Binghamton,6:07 PM,Events Center
49,13.1,#326 St Fran (PA)  at  #345 Le Moyne,7:00 PM,Ted Grant Court
50,12.6,#340 E Illinois  at  #332 S Indiana,8:30 PM,"Liberty Arena, Home of the Screaming Eagles"
51,8.6,#351 Central Ark  at  #342 W Georgia,7:45 PM,The Coliseum
