Rank,Hotness Score,Matchup,Time,Location
1,92.5,#49 USC  at  #81 Minnesota,8:30 PM,Williams Arena
2,87.4,#69 Akron  at  #112 Bowling Green,8:00 PM,Stroh Center
3,81.6,#138 UNLV  at  #90 Colorado St,10:00 PM,Moby Arena
4,78.8,#98 Miami OH  at  #158 Toledo,6:00 PM,Savage Arena
5,60.8,#191 N Kentucky  at  #205 Milwaukee,8:00 PM,UWM Panther Arena
6,55.1,#134 Wright St  at  #283 Detroit Mercy,7:00 PM,Calihan Hall
7,54.1,#257 Merrimack  at  #177 Siena,7:00 PM,MVP Arena
8,51.1,#153 Marist  at  #292 Sacred Heart,7:00 PM,William H. Pitt Health and Recreation Center
9,48.4,#318 Cleveland St  at  #128 Oakland,7:00 PM,OU Credit Union O'rena
10,35.1,#247 Saint Peter's  at  #305 Mt St Mary's,7:00 PM,Knott Arena
11,32.8,#353 Niagara  at  #195 Iona,7:00 PM,Hynes Athletics Center
12,23.2,#342 IU Indy  at  #269 Green Bay,7:00 PM,Resch Center
13,22.1,#348 Rider  at  #268 Fairfield,7:00 PM,Leo D. Mahoney Arena
14,15.1,#347 Canisius  at  #314 Manhattan,7:00 PM,Draddy Gymnasium
15,--,Bryant & Stratton College (OH)  at  #180 Youngstown St,11:00 AM,Zidian Family Arena at Beeghly Center
