Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Clemson,Memphis,5.5,145.,169,[],False
South Dakota,South Dakota,-9.5,153.5.,155,[],False
Missouri,LIU,27.5,147.5.,149,[],False
Furman,South Carolina State,12.5,142.,132,[],False
Purdue,Texas A&M,2.0,142.5.,136,[],False
Penn St.,Penn St.,-36.5,145.,150,[],False
Gardner-Webb,Queens University of Charlotte,6.0,155.5.,168,[],False
Appalachian St.,High Point,-5.0,137.,124,[],False
Jacksonville,Jacksonville,2.5,148.,112,[],False
Rider,Stony Brook,6.0,135.,127,[],False
UL Lafayette,Lamar,3.0,145.,119,[],False
Ohio St.,Auburn,-12.5,151.,144,[],False
Canisius,Canisius,8.0,134.5.,163,[],False
DePaul,DePaul,-4.5,151.5.,163,[],False
Youngstown St.,Youngstown St.,-1.5,148.5.,180,[],False
Massachusetts Lowell,Dartmouth,11.0,155.,175,[],False
South Carolina,South Carolina Upstate,23.5,150.5.,126,[],False
Longwood,North Carolina Central,8.5,145.,147,[],False
Central Florida,Central Florida,-10.5,143.5.,163,[],False
Cincinnati,Xavier,8.0,146.5.,133,[],False
Georgia St.,Charlotte,1.5,143.5.,140,[],False
UNC Asheville,UNC Asheville,-7.0,147.,139,[],False
Syracuse,Georgetown,-1.0,151.,146,[],False
Butler,Wisconsin,-5.0,147.5.,157,[],False
Howard,Howard,4.5,146.,171,[],False
Bellarmine,Ball St.,-3.5,143.,168,[],False
Arizona,UCLA,4.0,144.5.,111,[],False
Texas-Arlington,UL Monroe,13.0,150.,145,[],False
California,California,-17.0,143.5.,150,[],False
Rutgers,Seton Hall,10.5,134.5.,129,[],False
Kansas,Kansas,-14.5,142.5.,135,[],False
Arizona State,Florida,-7.0,156.5.,149,[],False
Pepperdine,Pepperdine,-4.0,145.5.,162,[],False
Utah St.,Utah St.,-16.5,156.,155,[],False
North Carolina,North Carolina,-20.5,162.5.,160,[],False
Stetson,Florida International,-3.5,147.5.,153,[],False
Arkansas,Central Arkansas,27.0,147.,139,[],False
Marshall,Marshall,1.0,155.5.,149,[],False
Valparaiso,Valparaiso,-1.0,145.,170,[],False
Southern Miss,Mississippi,-23.0,146.5.,123,[],False
Southern Methodist,Southern Methodist,-4.5,155.,138,[],False
NJIT,Wagner,-2.5,120.5.,93,[],False
Santa Clara,Santa Clara,-3.0,144.5.,158,[],False
Florida State,Florida State,-10.5,147.5.,141,[],False
Lindenwood,Lindenwood,-1.0,142.,144,[],False
Austin Peay,Southern Illinois,-1.5,134.5.,125,[],False
Oregon St.,Oregon St.,-2.5,137.,122,[],False
West Virginia,Bethune-Cookman,23.5,137.5.,145,[],False
Jacksonville St.,Jacksonville St.,-2.5,141.,136,[],False
North Florida,North Florida,-1.5,149.5.,166,[],False
Washington St.,Washington St.,-11.0,141.5.,169,[],False
Providence,St. Bonaventure,3.0,127.,144,[],False
Kentucky,Louisville,9.5,160.5.,178,[],False
Illinois,Tennessee,-1.5,148.,130,[],False
UC Santa Barbara,UC Santa Barbara,-13.5,152.,149,[],False
Duquesne,Duquesne,2.5,128.,112,[],False
Mississippi State,McNeese St.,9.0,144.,129,[],False
Niagara,St. Francis (PA),4.0,136.5.,135,[],False
Georgia,Grand Canyon,6.5,148.,141,[],False
Richmond,Belmont,-2.0,149.5.,179,[],False
Albany,Drexel,2.5,144.5.,147,[],False
Fresno St.,Fresno St.,-5.0,153.5.,138,[],False
Mount St. Mary'S,Loyola (MD),3.0,140.5.,146,[],False
Davidson,Davidson,-16.0,144.,137,[],False
Dayton,Dayton,-1.0,149.5.,134,[],False
Utah,Radford,20.0,146.5.,144,[],False
Liberty,North Carolina A&T,20.0,142.5.,157,[],False
Colorado St.,VCU,-6.5,137.,144,[],False
Connecticut,Connecticut,3.5,152.5.,148,[],False
Oklahoma State,Oklahoma,-3.5,153.,145,[],False
Eastern Kentucky,Eastern Kentucky,-10.0,141.5.,147,[],False
Kansas City,Kansas City,-3.5,144.,162,[],False
Alabama,Creighton,11.5,164.5.,158,[],False
Boise St.,Boise St.,2.5,139.5.,132,[],False
Loyola Marymount,Prairie View A&M,18.0,158.,151,[],False
Brigham Young,Brigham Young,-16.0,144.5.,117,[],False
Nevada,Nevada,-21.5,141.,178,[],False
San Jose St.,San Jose St.,-6.0,154.5.,207,[],False
Sacramento State,UC Davis,-6.0,138.,131,[],False
UNLV,Pacific,12.5,138.5.,137,[],False
