Team,ATS Record,Cover %,MOV,ATS +/-
Creighton,57-53-3,51.8%,-4.4,+1.0
Alcorn St,72-67-3,51.8%,-15.1,-0.5
Iowa St,73-68-3,51.8%,-5.7,+0.7
Xavier,60-56-4,51.7%,-3.7,+1.0
UC Irvine,46-43-2,51.7%,-5.1,+1.0
C Arkansas,93-87-5,51.7%,-13.1,-0.9
Illinois Chicago,111-104-3,51.6%,-7.2,+0.5
Canisius,98-92-6,51.6%,-6.4,+0.4
UMass,87-82-1,51.5%,-6.4,+0.1
Milwaukee,88-83-3,51.5%,-6.6,+0.6
N Illinois,106-100-5,51.5%,-8.6,-0.1
Southern,53-50-3,51.5%,-12.3,+0.5
Sacramento St,107-101-5,51.4%,-7.5,-0.1
F Dickinson,75-71-0,51.4%,-8.5,+0.7
Longwood,57-54-2,51.4%,-7.2,+1.9
Grand Canyon,38-36-0,51.4%,-5.9,-0.2
S Utah,97-92-3,51.3%,-9.3,-0.4
NJIT,81-77-3,51.3%,-9.2,+0.3
NC A&T,82-78-2,51.3%,-10.5,+0.2
Maryland,63-60-4,51.2%,-3.6,+1.0
Dartmouth,85-81-10,51.2%,-7.2,+0.8
Georgia So,85-81-1,51.2%,-5.9,+0.6
Binghamton,87-83-4,51.2%,-8.6,+0.5
Marist,108-103-5,51.2%,-6.5,+0.3
Delaware,94-90-3,51.1%,-7.6,-0.4
Alabama St,73-70-4,51.1%,-13.4,-0.8
Wyoming,99-95-5,51.0%,-7.8,0.0
UTSA,106-102-3,51.0%,-8.2,+0.7
Kent St,57-55-4,50.9%,-4.8,+1.4
Fresno St,86-83-3,50.9%,-7.2,+0.4
N Kentucky,58-56-0,50.9%,-6.4,+1.0
S Indiana,29-28-2,50.9%,-6.4,+1.2
Grambling,62-60-1,50.8%,-10.3,+1.5
Youngstown St,93-90-2,50.8%,-8.3,-0.1
Florida Intl,96-93-7,50.8%,-7.4,-0.1
Prairie View,65-63-3,50.8%,-11.9,+0.5
N Colorado,68-66-4,50.8%,-7.1,+0.8
Mt St Mary's,69-67-2,50.7%,-7.0,+1.0
Maryland ES,81-79-4,50.6%,-15.0,-0.8
South Carolina,86-84-3,50.6%,-6.9,+0.1
Baylor,46-45-3,50.6%,-3.6,+0.7
UCSB,49-48-1,50.5%,-6.0,+0.1
McNeese,52-51-4,50.5%,-10.5,0.0
California,109-107-1,50.5%,-9.5,-0.8
St Bonaventure,56-55-4,50.5%,-4.6,+0.3
Morgan St,68-67-1,50.4%,-10.2,-0.8
Missouri St,77-76-6,50.3%,-6.4,-0.2
Quinnipiac,78-77-4,50.3%,-5.4,+0.9
George Mason,82-81-2,50.3%,-6.2,+0.9
Bowling Green,82-81-2,50.3%,-6.4,-0.5
Arizona St,83-82-6,50.3%,-7.0,-0.1
Northwestern,87-86-6,50.3%,-6.1,+0.5
Rutgers,99-98-2,50.3%,-8.6,-0.2
North Dakota,110-109-3,50.2%,-8.0,+0.2
IU Indy,122-121-3,50.2%,-11.0,-0.8
Jacksonville,66-66-1,50.0%,-9.2,-0.3
UL Monroe,108-108-4,50.0%,-8.4,+0.3
Indiana St,76-76-5,50.0%,-6.7,-0.1
Florida St,62-62-0,50.0%,-5.5,+0.7
Wright St,51-51-2,50.0%,-5.3,+1.0
Fairfield,96-96-4,50.0%,-6.6,-0.3
Cal Baptist,39-39-3,50.0%,-7.1,-0.1
South Dakota,81-81-2,50.0%,-7.7,-0.5
Ball St,77-77-0,50.0%,-5.1,+1.1
Drake,74-74-3,50.0%,-6.4,+0.5
Marquette,62-62-3,50.0%,-5.5,+0.1
New Hampshire,69-69-1,50.0%,-8.7,+0.9
St Thomas,25-25-2,50.0%,-5.7,+1.7
New Mexico St,45-45-0,50.0%,-6.0,+0.8
Tarleton St,44-44-0,50.0%,-8.2,+0.9
W Michigan,107-108-5,49.8%,-8.4,-0.1
Miami OH,103-104-4,49.8%,-6.7,+0.6
Coppin St,100-101-3,49.8%,-13.8,-0.1
Austin Peay,96-97-2,49.7%,-8.9,-0.5
Charlotte,91-92-3,49.7%,-7.7,-0.5
Hou Christian,87-88-3,49.7%,-12.8,-0.6
Valparaiso,85-86-6,49.7%,-7.7,-0.2
UCF,82-83-0,49.7%,-6.8,0.0
NC Asheville,59-60-1,49.6%,-9.2,-0.2
N Alabama,59-60-3,49.6%,-9.1,+0.6
Miss Valley St,114-116-1,49.6%,-20.9,-1.5
Idaho,113-115-5,49.6%,-7.9,+0.1
UCLA,54-55-1,49.5%,-5.4,+0.2
Sam Houston,54-55-2,49.5%,-7.8,-0.1
Murray St,46-47-4,49.5%,-4.1,+1.2
C Michigan,83-85-9,49.4%,-9.1,-0.3
C Connecticut,79-81-2,49.4%,-10.4,+0.1
Incarnate Word,80-82-1,49.4%,-10.8,-0.5
Rider,77-79-3,49.4%,-6.8,+0.3
Florida Atlantic,74-76-3,49.3%,-6.8,+0.5
Elon,105-108-2,49.3%,-7.7,+0.3
Purdue,33-34-2,49.3%,-3.4,+0.6
Washington,92-95-2,49.2%,-8.1,-0.9
Bethune,61-63-4,49.2%,-10.6,-0.2
Delaware St,91-94-1,49.2%,-14.1,-0.8
Nevada,52-54-1,49.1%,-6.7,-0.2
Rice,98-102-6,49.0%,-7.6,+0.2
Syracuse,73-76-5,49.0%,-5.8,+0.8
Richmond,72-75-2,49.0%,-5.2,+0.7
Drexel,95-99-4,49.0%,-5.9,+0.3
G Washington,90-94-2,48.9%,-6.1,+0.8
Idaho St,111-116-3,48.9%,-8.1,+0.1
Michigan St,43-45-2,48.9%,-4.2,+0.4
Montana St,81-85-5,48.8%,-7.6,-0.3
E Carolina,98-103-4,48.8%,-9.3,-0.5
San Diego,98-103-1,48.8%,-9.9,-0.4
Saint Louis,77-81-0,48.7%,-8.0,-0.3
St John's,76-80-5,48.7%,-7.2,0.0
San Francisco,56-59-3,48.7%,-7.9,-0.1
Georgetown,92-97-3,48.7%,-8.1,-0.2
Missouri,91-96-3,48.7%,-8.3,-0.4
UNLV,72-76-4,48.7%,-7.1,-0.3
E Illinois,107-113-3,48.6%,-8.9,+0.1
Utah Tech,52-55-2,48.6%,-9.9,-0.6
Denver,101-107-3,48.6%,-8.1,-0.3
Illinois St,82-87-4,48.5%,-6.2,+0.7
William & Mary,80-85-3,48.5%,-8.1,0.0
Arkansas,60-64-0,48.4%,-6.5,-0.9
Navy,60-64-1,48.4%,-6.1,+0.8
Fordham,101-108-4,48.3%,-7.9,+0.1
Green Bay,101-108-5,48.3%,-9.4,-0.1
The Citadel,115-123-8,48.3%,-11.1,-0.7
Bellarmine,43-46-1,48.3%,-9.1,+0.5
CS Northridge,108-116-2,48.2%,-8.8,-0.5
Pittsburgh,80-86-8,48.2%,-8.1,-0.5
FGCU,53-57-0,48.2%,-6.8,+1.1
Michigan,53-57-1,48.2%,-4.4,+1.2
Mercer,79-85-3,48.2%,-7.1,-0.6
W Carolina,103-111-3,48.1%,-11.2,-1.0
Tenn Tech,101-109-4,48.1%,-9.4,-0.4
San Jose St,125-135-3,48.1%,-12.5,-1.1
TCU,75-81-4,48.1%,-7.4,-0.6
Virginia Tech,73-79-0,48.0%,-6.7,+0.1
UTEP,73-79-4,48.0%,-6.8,-0.3
Yale,35-38-4,48.0%,-7.5,-0.3
Evansville,104-113-3,47.9%,-9.3,-1.1
Weber St,57-62-0,47.9%,-7.7,-1.4
Boston U,57-62-3,47.9%,-5.9,+0.7
VMI,112-122-6,47.9%,-12.0,-0.9
USC,65-71-0,47.8%,-6.1,-0.3
Albany,65-71-2,47.8%,-6.9,+0.7
Texas Tech,53-58-2,47.8%,-5.5,+0.7
Arizona,21-23-1,47.7%,-2.9,+0.8
SE Missouri St,105-115-6,47.7%,-8.4,-0.1
Texas St,62-68-6,47.7%,-5.6,+0.6
Charleston,51-56-2,47.7%,-5.3,+0.8
Detroit Mercy,110-121-3,47.6%,-10.2,-1.0
UConn,47-52-2,47.5%,-6.5,-0.7
Alabama A&M,84-93-2,47.5%,-12.1,-1.2
Nebraska,93-103-2,47.5%,-8.6,-0.4
Samford,74-82-5,47.4%,-9.4,-1.2
UT Rio Grande,73-81-5,47.4%,-10.4,-0.7
SIU Edward,99-110-4,47.4%,-9.5,-0.5
Winthrop,35-39-1,47.3%,-7.4,+0.6
Vermont,26-29-1,47.3%,-7.4,-0.9
Holy Cross,94-105-0,47.2%,-8.6,-0.3
Boston College,111-124-4,47.2%,-8.3,+0.2
J Madison,68-76-3,47.2%,-6.0,-0.1
Queens,25-28-1,47.2%,-8.0,-0.4
Oklahoma St,82-92-2,47.1%,-6.3,+0.5
Ohio,57-64-2,47.1%,-6.0,-0.1
Indiana,65-73-2,47.1%,-6.3,-0.4
New Mexico,65-73-3,47.1%,-7.0,-0.4
Middle Tenn,80-90-3,47.1%,-7.0,-0.5
LIU,48-54-2,47.1%,-11.4,-0.3
Tulane,86-97-6,47.0%,-8.3,+0.3
Chicago St,103-117-2,46.8%,-17.7,-1.6
Hawai'i,57-65-3,46.7%,-5.3,+0.5
La Salle,92-105-4,46.7%,-7.9,+0.1
Davidson,49-56-2,46.7%,-6.7,-1.0
Cal Poly,111-127-7,46.6%,-9.6,-0.6
Tennessee St,76-87-5,46.6%,-9.0,-0.3
St Francis PA,68-78-1,46.6%,-9.4,-0.5
Pepperdine,88-101-4,46.6%,-10.7,-0.8
Air Force,101-116-4,46.5%,-10.8,-1.4
Virginia,33-38-1,46.5%,-6.4,-1.7
Little Rock,78-90-2,46.4%,-7.1,+0.2
S Illinois,71-82-6,46.4%,-7.1,-0.7
UT Martin,89-103-2,46.4%,-8.6,-0.1
Washington St,89-103-3,46.4%,-8.6,-0.4
Lamar,63-73-5,46.3%,-8.9,+0.2
Auburn,50-58-1,46.3%,-7.3,-0.4
San Diego St,31-36-2,46.3%,-4.2,+0.5
Abl Christian,43-50-1,46.2%,-7.9,-0.5
Princeton,36-42-2,46.2%,-6.3,-0.4
BYU,36-42-4,46.2%,-6.1,+0.5
NC State,70-82-6,46.1%,-5.8,+0.5
Wake Forest,81-95-1,46.0%,-8.2,-0.5
Loyola MD,69-81-2,46.0%,-8.2,-0.6
Penn,63-74-3,46.0%,-8.7,-1.0
Southern Miss,101-119-3,45.9%,-9.7,-1.1
Portland,98-116-5,45.8%,-12.1,-1.2
Cincinnati,37-44-2,45.7%,-6.7,-1.2
Louisville,58-69-3,45.7%,-8.3,-0.9
Sacred Heart,58-69-1,45.7%,-7.7,-0.4
Northeastern,62-74-5,45.6%,-6.7,-0.8
Pacific,91-109-5,45.5%,-10.8,-1.0
W Illinois,90-108-4,45.5%,-9.7,-1.1
DePaul,103-124-7,45.4%,-10.1,-1.0
N Iowa,57-69-2,45.2%,-5.8,-0.6
Minnesota,85-103-4,45.2%,-7.8,-0.5
CS Bakersfield,69-84-3,45.1%,-7.7,+0.2
Illinois,55-67-3,45.1%,-6.0,+0.3
Saint Mary's,27-33-1,45.0%,-7.1,-1.0
CS Fullerton,90-110-7,45.0%,-8.0,-0.6
Bradley,71-87-3,44.9%,-8.5,-0.5
Charleston So,75-92-4,44.9%,-11.0,-0.9
Butler,66-81-4,44.9%,-7.7,-1.5
E Michigan,87-107-1,44.9%,-8.9,-1.2
Kennesaw St,74-91-1,44.9%,-12.5,-1.2
VCU,39-48-1,44.8%,-4.8,-0.5
Kansas,24-30-1,44.4%,-7.3,-3.8
Lindenwood,32-40-1,44.4%,-10.4,-0.9
Howard,59-74-2,44.4%,-10.8,-0.7
West Virginia,58-73-1,44.3%,-7.2,-1.0
Louisiana,56-71-3,44.1%,-6.8,-0.5
Stanford,66-84-6,44.0%,-7.7,-0.8
Columbia,66-84-4,44.0%,-10.4,-1.9
Tulsa,76-97-3,43.9%,-8.0,-0.9
Le Moyne,18-23-1,43.9%,-10.3,-0.6
New Orleans,61-78-2,43.9%,-13.7,-2.5
Seattle,52-67-0,43.7%,-7.8,-0.7
Oral Roberts,76-98-4,43.7%,-9.2,-0.6
Old Dominion,58-75-3,43.6%,-6.2,-0.2
Montana,44-57-3,43.6%,-8.7,-1.1
Ohio St,53-69-2,43.4%,-5.7,-0.4
Utah St,48-63-2,43.2%,-5.1,+0.1
Marshall,60-80-3,42.9%,-8.8,-1.6
W Georgia,12-16-0,42.9%,-10.9,+0.5
AR-Pine Bluff,79-106-3,42.7%,-16.2,-1.5
Wagner,48-65-1,42.5%,-7.8,-0.2
Iowa,55-75-5,42.3%,-5.3,+0.1
Colorado St,58-80-2,42.0%,-7.0,-0.7
Georgia St,44-61-3,41.9%,-8.2,-0.9
N Dakota St,50-71-2,41.3%,-8.6,-0.8
SMU,33-47-2,41.3%,-8.3,-2.4
LSU,63-90-3,41.2%,-7.5,-1.3
Florida,38-55-1,40.9%,-5.0,-0.2
Rhode Island,50-73-1,40.7%,-6.2,-0.9
SF Austin,30-44-2,40.5%,-8.1,-1.2
Stonehill,25-37-1,40.3%,-11.5,-0.8
North Carolina,27-40-3,40.3%,-5.0,-0.3
Gonzaga,8-12-0,40.0%,-6.1,-2.6
Bryant,42-63-2,40.0%,-10.2,-1.3
Colorado,51-78-2,39.5%,-6.6,-0.1
Utah,52-80-6,39.4%,-8.3,-2.8
