Rank,Hotness Score,Matchup,Time,Location
1,99.1,#10 UConn  at  #20 Kansas,9:00 PM,Allen Fieldhouse
2,98.7,#27 North Carolina  at  #9 Kentucky,9:30 PM,Rupp Arena at Central Bank Center
3,98.1,#18 Florida  at  #2 Duke,7:30 PM,Cameron Indoor Stadium
4,97.9,#23 Iowa  at  #17 Michigan St,7:00 PM,Jack Breslin Student Events Center
5,95.8,#35 Miami  at  #53 Mississippi,9:00 PM,The Sandy and John Black Pavilion at Ole Miss
6,95.1,#31 Missouri  at  #63 Notre Dame,9:00 PM,Purcell Pavilion at the Joyce Center
7,94.9,#21 Georgia  at  #68 Florida St,9:00 PM,Donald L. Tucker Center
8,94.8,#14 Tennessee  at  #67 Syracuse,7:00 PM,JMA Wireless Dome
9,93.9,#55 Oklahoma  at  #46 Wake Forest,7:00 PM,LJVM Coliseum
10,92.9,#33 USC  at  #77 Oregon,10:00 PM,Matthew Knight Arena
11,91.6,#47 Texas A&M  at  #89 Pittsburgh,7:00 PM,Petersen Events Center
12,89.9,#73 Virginia Tech  at  #85 South Carolina,7:00 PM,Colonial Life Arena
13,89.2,#4 Purdue  at  #116 Rutgers,8:00 PM,Jersey Mike's Arena
14,86.8,#52 Saint Louis  at  #125 Loyola Mymt,10:00 PM,Gersten Pavilion
15,85.9,#115 E Tennessee St  at  #75 Dayton,7:00 PM,UD Arena
16,85.4,#135 Sam Houston  at  #49 Oklahoma St,8:00 PM,Gallagher-Iba Arena
17,84.8,#123 Utah  at  #71 California,10:00 PM,Haas Pavilion
18,84.4,#103 UCSD  at  #106 Nevada,10:00 PM,Lawlor Events Center
19,83.1,#131 Cornell  at  #78 George Mason,7:00 PM,EagleBank Arena
20,77.5,#129 William & Mary  at  #141 Duquesne,7:00 PM,UPMC Cooper Fieldhouse
21,75.5,#206 E Michigan  at  #45 Butler,7:00 PM,Hinkle Fieldhouse
22,74.9,#140 New Mexico St  vs.  #147 S Alabama,7:00 PM,Leonard E. Merrel Center
23,74.7,#175 Washington St  at  #113 Bradley,8:00 PM,Carver Arena
24,71.4,#229 Valparaiso  at  #59 Marquette,8:00 PM,Fiserv Forum
25,69.3,#227 Campbell  at  #91 Penn St,6:00 PM,Bryce Jordan Center
26,67.5,#252 Nicholls  at  #51 Creighton,9:00 PM,CHI Health Center Omaha
27,66.7,#164 UT Arlington  at  #191 Arkansas St,8:00 PM,First National Bank Arena
28,63.2,#282 Sacramento St  at  #37 Baylor,8:00 PM,Paul and Alejandra Foster Pavilion
29,63.1,#102 Winthrop  at  #257 LIU,7:30 PM,Steinberg Wellness Center
30,61.8,#254 Brown  at  #109 Rhode Island,7:00 PM,Thomas M. Ryan Center
31,56.1,#298 Wagner  at  #97 Maryland,8:00 PM,Xfinity Center
32,53.8,#299 Morehead St  at  #110 Murray St,8:00 PM,CFSB Center
33,52.8,#273 Grambling  at  #165 Tulane,7:30 PM,Avron B. Fogelman Arena in Devlin Fieldhouse
34,49.8,#57 G Washington  at  #347 Army,11:00 AM,Christl Arena
35,47.0,#354 F Dickinson  at  #70 Providence,7:00 PM,Amica Mutual Pavilion
36,45.6,#348 Stetson  at  #101 Grand Canyon,9:00 PM,Global Credit Union Arena at GCU
37,45.5,#328 Hou Christian  at  #139 N Texas,8:00 PM,The Super Pit
38,44.4,#294 NC Greensboro  vs.  #198 NC Asheville,7:00 PM,Asheville Civic Center
39,41.9,#341 Jackson St  at  #150 Kennesaw St,7:00 PM,KSU Convocation Center
40,41.3,#195 SIU Edward  at  #315 N Florida,7:00 PM,UNF Arena
41,41.0,#349 W Illinois  at  #136 Drake,7:30 PM,Knapp Center
42,39.5,#312 NC A&T  at  #209 Charlotte,7:00 PM,Dale F. Halton Arena
43,37.6,#303 Charleston So  at  #228 UT Martin,12:00 PM,Kathleen and Tom Elam Center
44,37.4,#335 Georgia St  at  #184 Mercer,7:00 PM,Hawkins Arena
45,36.8,#270 C Michigan  at  #272 Loyola Chi,8:00 PM,Joseph J. Gentile Arena
46,35.6,#266 Abl Christian  at  #281 Pepperdine,9:00 PM,Firestone Fieldhouse
47,32.8,#307 Lindenwood  at  #258 N Illinois,8:00 PM,Convocation Center
48,23.9,#352 Florida A&M  at  #250 Jacksonville,7:00 PM,Swisher Gymnasium
49,21.5,#332 Stonehill  at  #293 Bryant,6:00 PM,Chace Athletic Center
50,20.6,#343 Maryland ES  at  #289 E Carolina,7:00 PM,Williams Arena at Minges Coliseum
51,19.6,#275 Lehigh  at  #356 Binghamton,6:00 PM,Events Center
52,--,Mount Marty  at  #92 Wichita St,7:30 PM,Charles Koch Arena
52,--,Manhattan Christian  at  #95 Tulsa,8:00 PM,Reynolds Center
52,--,SUNY-Maritime  at  #72 Yale,7:00 PM,John J. Lee Amphitheater
52,--,Eureka  at  #202 Indiana St,7:00 PM,Hulman Center
52,--,Indiana East  at  #119 Miami OH,7:00 PM,Millett Hall
52,--,Virginia-Lynchburg  at  #291 W Carolina,11:00 AM,Ramsey Center
52,--,Saint Mary-Of-The-Woods  at  #234 SE Missouri St,7:30 PM,Show Me Center
