Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score,Home Cover
Dartmouth,Le Moyne,5.5,148.5.,156,[],False
Sacred Heart,Albany,3.5,154.5.,140,[],False
Binghamton,Mercyhurst,6.5,132.5.,122,[],False
South Carolina Upstate,South Carolina State,-2.0,153.5.,155,[],False
Massachusetts Lowell,Stonehill,14.0,148.,145,[],False
La Salle,Fairleigh Dickinson,14.0,160.5.,149,[],False
Georgetown,Georgetown,4.5,144.5.,138,[],False
Queens University Of Charlotte,Queens University of Charlotte,-1.0,160.,139,[],False
William & Mary,William & Mary,-2.5,155.,180,[],False
Ohio,Ohio,-14.0,142.,136,[],False
Virginia,Virginia,3.5,130.,126,[],False
George Washington,George Washington,-13.0,141.,144,[],False
Northern Kentucky,Detroit Mercy,13.5,135.,133,[],False
East Tennessee St.,East Tennessee St.,-3.0,144.,142,[],False
Indiana St.,Indiana St.,3.0,152.5.,158,[],False
Saint Joseph'S,Saint Joseph's,-12.0,140.5.,141,[],False
UNC Wilmington,UNC Wilmington,-6.5,138.5.,145,[],False
Fairfield,Fairfield,2.0,138.5.,127,[],False
Campbell,Longwood,-3.0,142.5.,132,[],False
Wright St.,Youngstown St.,7.0,143.5.,150,[],False
Massachusetts,Massachusetts,-3.5,146.5.,149,[],False
Connecticut,Xavier,13.5,146.5.,183,[],False
Wagner,Manhattan,2.0,127.5.,146,[],False
Temple,Davidson,1.5,148.5.,123,[],False
LIU,Mount St. Mary's,2.0,140.,152,[],False
South Florida,Bethune-Cookman,11.5,148.,146,[],False
Vermont,Vermont,-5.0,130.,142,[],False
Georgia Tech,UMBC,15.5,160.,173,[],False
UAB,UAB,-22.5,159.,163,[],False
Texas Rio Grande Valley,Texas Rio Grande Valley,-1.5,156.,151,[],False
Houston,Toledo,30.0,141.,127,[],False
North Texas,North Texas,-36.5,123.,125,[],False
Loyola-Chicago,Canisius,24.0,140.,132,[],False
Saint Louis,Wofford,7.5,151.,145,[],False
Illinois St.,Illinois St.,-14.0,140.5.,141,[],False
UL Lafayette,UL Lafayette,2.0,136.,130,[],False
Oklahoma State,Tarleton State,21.0,139.,127,[],False
Vanderbilt,Vanderbilt,-28.5,149.,158,[],False
Texas-Arlington,Texas-Arlington,-9.5,150.,134,[],False
North Dakota,North Dakota,25.0,167.,187,[],False
UC Davis,UC Davis,-6.5,141.5.,140,[],False
Idaho State,Utah Valley,-2.0,136.5.,126,[],False
Arizona,Arizona,-19.0,168.,160,[],False
Gonzaga,Nicholls State,34.5,155.5.,174,[],False
Marquette,Butler,14.0,148.5.,150,[],False
Oklahoma,Michigan,4.0,149.,173,[],False
New Mexico,New Mexico,-4.0,151.5.,149,[],False
Southern California,Southern California,-12.5,151.5.,159,[],False
Loyola Marymount,UC Santa Barbara,2.5,141.5.,118,[],False
Portland,CSU Bakersfield,1.0,141.,145,[],False
UC Riverside,UC Riverside,-2.5,143.5.,163,[],False
Santa Clara,Santa Clara,-15.0,158.,168,[],False
Pacific,Portland St.,4.0,148.5.,156,[],False
Washington,Washington,-2.5,149.,162,[],False
