Rank,Hotness Score,Matchup,Time,Location
1,75.3,#18 Orlando  at  #11 Sacramento,10:00 PM,Golden 1 Center
2,74.9,#16 Miami  at  #20 Philadelphia,7:30 PM,Wells Fargo Center
3,71.7,#2 Cleveland  at  #21 Detroit,7:00 PM,Little Caesars Arena
4,70.0,#19 San Antonio  at  #22 Atlanta,7:00 PM,State Farm Arena
5,68.7,#4 Memphis  at  #24 Toronto,7:30 PM,Scotiabank Arena
6,67.9,#23 Chicago  at  #8 Minnesota,8:00 PM,Target Center
7,66.8,#17 Phoenix  at  #1 Okla City,9:30 PM,Paycom Center
8,60.8,#12 Milwaukee  at  #27 Charlotte,7:00 PM,Spectrum Center
9,60.2,#14 Golden State  at  #28 Utah,9:00 PM,Delta Center
10,57.5,#26 New Orleans  at  #7 Denver,9:00 PM,Ball Arena
11,33.4,#30 Washington  at  #29 Brooklyn,7:30 PM,Barclays Center
