Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Brooklyn,Orlando,Brooklyn,+8,202.,203,[]
Indiana,Boston,Indiana,+10.5,232.,237,[]
Atlanta,Toronto,Atlanta,+1,242.5.,243,[]
Memphis,Oklahoma City,Oklahoma City,-8,235.5.,236,[]
Miami,Houston,Miami,+8.5,215.5.,204,[]
San Antonio,Minnesota,San Antonio,+6,216.5.,222,[]
