Team,ATS Record,Cover %,MOV,ATS +/-
Ark Pine Bl,18-17-0,51.4%,7.5,+2.2
Buffalo,94-89-4,51.4%,8.3,+0.5
Colorado,116-110-6,51.3%,9.4,+0.4
S Methodist,118-112-6,51.3%,10.9,+0.8
Bryant,61-58-1,51.3%,7.3,+0.3
Portland,47-45-2,51.1%,4.9,-1.0
Arkansas,118-113-4,51.1%,10.9,+0.7
Tulsa,71-68-5,51.1%,8.0,-0.4
Kent St,99-95-12,51.0%,6.0,-0.8
Toledo,124-119-0,51.0%,7.7,0.0
Montana,106-102-11,51.0%,7.4,+0.2
Texas St,81-78-5,50.9%,5.6,+0.1
LIU,27-26-2,50.9%,5.2,-0.2
TX-Arlington,84-81-4,50.9%,5.7,-0.9
Southern,56-54-0,50.9%,7.1,+0.8
Bucknell,60-58-0,50.9%,5.7,0.0
Hawaii,91-88-1,50.8%,6.8,-0.3
Colorado St,92-89-3,50.8%,9.4,+0.7
UC Davis,72-70-7,50.7%,4.5,-0.9
Akron,109-106-3,50.7%,8.6,+1.0
Alabama,116-113-6,50.7%,9.6,+0.6
Ohio St,116-113-3,50.7%,11.7,+0.6
Fla Atlantic,78-76-3,50.7%,8.0,+0.9
Grd Canyon,86-84-3,50.6%,11.3,+0.9
Princeton,87-85-1,50.6%,8.1,+0.8
W Carolina,46-45-3,50.6%,6.6,+0.8
Sacred Hrt,50-49-1,50.5%,4.9,-0.2
UCSB,102-100-7,50.5%,6.9,-0.6
Drexel,56-55-4,50.5%,5.7,0.0
Arkansas St,59-58-2,50.4%,4.6,-1.3
UCLA,123-121-7,50.4%,11.5,+0.5
Tennessee,129-127-3,50.4%,11.2,+0.2
Oregon St,68-67-1,50.4%,8.4,0.0
N Mex State,77-76-4,50.3%,8.5,-0.1
James Mad,76-75-3,50.3%,6.8,-0.4
E Tenn St,96-95-6,50.3%,8.2,-0.1
Ohio,95-94-2,50.3%,7.0,-0.3
W Kentucky,103-102-4,50.2%,6.4,-0.8
Texas Tech,117-116-2,50.2%,12.8,+1.0
UAB,112-112-5,50.0%,8.0,-1.1
Wichita St,118-118-7,50.0%,10.7,-0.1
Elon,43-43-1,50.0%,5.5,+0.5
Oral Roberts,64-64-2,50.0%,8.0,+0.7
Saint Louis,83-83-2,50.0%,6.8,-1.0
NC-Wilmgton,80-80-3,50.0%,6.6,0.0
GA Southern,66-66-8,50.0%,5.5,0.0
SIU Edward,41-41-2,50.0%,4.6,-0.4
Maryland BC,53-53-1,50.0%,5.8,-0.1
AR Lit Rock,65-65-3,50.0%,6.2,+0.3
Cornell,41-41-0,50.0%,6.2,-0.2
Pepperdine,69-69-3,50.0%,5.6,-0.8
UL Monroe,45-45-1,50.0%,5.6,+0.5
Lindenwood,5-5-1,50.0%,1.6,-0.3
Charl South,22-22-0,50.0%,7.0,+0.3
S Alabama,69-69-2,50.0%,4.7,-0.8
Mercyhurst,1-1-0,50.0%,-1.5,-2.8
Hofstra,111-111-2,50.0%,6.5,-0.6
N Dakota St,93-93-2,50.0%,6.7,+0.6
N Florida,48-48-1,50.0%,6.7,-0.5
Wisconsin,122-123-5,49.8%,9.6,-0.6
Xavier,118-119-3,49.8%,9.7,-0.1
Florida St,110-111-7,49.8%,8.6,-0.8
St Josephs,69-70-1,49.6%,6.6,-0.3
Fla Gulf Cst,62-63-1,49.6%,5.2,-1.1
UC Riverside,53-54-1,49.5%,4.9,-0.8
DePaul,50-51-1,49.5%,8.6,-0.2
Syracuse,96-98-2,49.5%,8.5,-0.3
E Carolina,47-48-2,49.5%,5.4,-1.0
Kansas City,43-44-0,49.4%,3.9,-1.6
Detroit,42-43-1,49.4%,6.2,+0.6
IPFW,81-83-1,49.4%,6.1,-0.4
SE Louisiana,39-40-3,49.4%,4.6,-0.6
Loyola-Chi,113-116-3,49.3%,9.0,+0.1
Murray St,111-114-2,49.3%,8.7,-0.1
Central Conn,34-35-0,49.3%,2.9,-2.1
Louisville,97-100-6,49.2%,11.0,-0.2
LSU,93-96-4,49.2%,10.8,+0.3
Austin Peay,56-58-5,49.1%,6.9,+0.2
Memphis,109-113-4,49.1%,9.8,+0.2
Towson,78-81-4,49.1%,5.8,-0.3
Washington,75-78-2,49.0%,9.2,+0.1
Mercer,74-77-3,49.0%,5.9,-0.2
Wright St,110-115-3,48.9%,7.7,+0.3
