Away Team,Home Team,Cover Team,Closing Spread,Closing Total Line,Actual Total Score
Milwaukee,Indiana,Milwaukee,-2,229.,232,[]
L.A. Clippers,San Antonio,San Antonio,-3.5,219.,208,[]
Minnesota,Oklahoma City,Oklahoma City,-7,217.,218,[]
Memphis,Phoenix,Memphis,+5.5,238.5.,229,[]
