Rank,Hotness Score,Matchup,Time,Location
1,88.2,#8 San Antonio  at  #5 LA Lakers,10:00 PM,Crypto.com Arena
2,87.6,#10 Minnesota  at  #6 New York,7:30 PM,Madison Square Garden
3,86.3,#14 Philadelphia  at  #4 Cleveland,7:00 PM,Rocket Arena
4,82.8,#11 Miami  at  #3 Denver,9:00 PM,Ball Arena
5,77.5,#1 Okla City  at  #19 Portland,10:00 PM,Moda Center
6,76.7,#7 Golden State  at  #22 Sacramento,10:00 PM,Golden 1 Center
7,65.3,#2 Houston  at  #21 Memphis,8:00 PM,FedExForum
8,54.1,#28 Utah  at  #9 Detroit,7:00 PM,Little Caesars Arena
9,51.3,#27 New Orleans  at  #23 Dallas,8:30 PM,American Airlines Center
10,35.0,#29 Washington  at  #18 Boston,7:30 PM,TD Garden
11,32.6,#30 Brooklyn  at  #24 Indiana,7:00 PM,Gainbridge Fieldhouse
