Team,ATS Record,Cover %,MOV,ATS +/-
Sacramento St,190-182-10,51.1%,-5.7,-0.1
Southern,76-73-2,51.0%,-0.3,+0.4
Baylor,213-205-7,51.0%,2.7,+0.5
Vanderbilt,240-231-10,51.0%,1.8,+0.3
Alabama,238-229-8,51.0%,3.4,+0.2
Monmouth,107-103-4,51.0%,-1.8,-0.1
Penn St,165-159-12,50.9%,-1.2,-0.1
Miss Valley St,82-79-1,50.9%,-6.7,-1.5
BYU,247-238-12,50.9%,6.6,+1.1
Georgia,218-210-5,50.9%,-0.4,+0.5
Texas,238-230-4,50.9%,5.7,+0.3
E Kentucky,213-206-10,50.8%,-1.4,-0.1
Evansville,218-211-14,50.8%,-3.6,-0.8
Ohio St,189-183-6,50.8%,7.0,+0.4
Valparaiso,161-156-8,50.8%,1.8,+0.3
Niagara,196-190-4,50.8%,-1.0,-0.2
Saint Joseph's,201-195-11,50.8%,0.7,-0.1
N Iowa,236-229-10,50.8%,1.4,-0.1
American,105-102-2,50.7%,0.4,+0.6
New Mexico St,210-204-11,50.7%,4.6,+0.5
Drexel,215-209-13,50.7%,0.9,+0.2
Little Rock,215-209-8,50.7%,-0.3,+0.7
Utah St,228-222-6,50.7%,6.3,+0.8
Alcorn St,76-74-3,50.7%,-3.7,-0.1
Sacred Heart,82-80-2,50.6%,-2.4,+0.2
Kansas,251-245-7,50.6%,9.7,+0.3
Charleston,217-212-10,50.6%,4.5,0.0
Mississippi St,231-226-14,50.6%,2.2,+0.1
UC Riverside,191-187-8,50.5%,-4.9,-0.4
App State,191-187-10,50.5%,-0.4,+0.1
Tennessee St,196-192-9,50.5%,-2.4,+0.6
UL Monroe,165-162-7,50.5%,-5.4,0.0
Penn,224-220-7,50.5%,2.1,+0.6
Toledo,245-241-6,50.4%,1.9,+0.2
Texas St,125-123-7,50.4%,-0.8,+0.3
UT Arlington,128-126-6,50.4%,-0.2,-0.2
Oklahoma St,210-207-10,50.4%,3.9,+0.3
South Carolina,215-212-5,50.4%,0.5,-0.2
UMBC,75-74-3,50.3%,-2.1,+0.8
Florida,230-227-9,50.3%,7.7,+0.3
Prairie View,78-77-5,50.3%,-4.5,+0.3
Virginia Tech,170-168-5,50.3%,1.5,0.0
Army,90-89-4,50.3%,-4.5,-0.8
Portland St,202-200-13,50.3%,-1.5,-0.2
Hofstra,225-223-10,50.2%,2.4,0.0
Long Beach St,237-235-13,50.2%,-1.6,-0.1
Virginia,179-178-11,50.1%,4.9,-0.6
Columbia,191-190-7,50.1%,-3.1,-0.5
Arkansas St,205-204-11,50.1%,-1.2,-0.4
San Diego,237-236-6,50.1%,-2.3,+0.1
Marist,153-153-5,50.0%,-2.7,+0.1
Arizona,296-296-9,50.0%,8.5,+0.5
Saint Louis,205-205-6,50.0%,1.5,-0.6
St Francis PA,81-81-2,50.0%,-3.8,-0.4
Nebraska,176-176-5,50.0%,0.8,+0.1
Austin Peay,228-228-14,50.0%,0.1,+0.2
St John's,174-174-7,50.0%,1.1,+0.2
Kennesaw St,85-85-3,50.0%,-6.7,-0.1
Utah Tech,38-38-3,50.0%,-7.8,-0.6
South Dakota,105-105-3,50.0%,-2.6,-0.4
Washington,249-250-6,49.9%,0.7,-0.2
William & Mary,237-238-9,49.9%,-2.2,+0.3
George Mason,221-222-17,49.9%,2.6,+0.4
Indiana St,219-220-11,49.9%,-0.8,0.0
Montana St,208-209-9,49.9%,-0.7,-0.3
Michigan St,199-200-5,49.9%,6.9,-0.1
Georgia Tech,178-179-5,49.9%,0.5,-0.2
UC Irvine,241-243-11,49.8%,2.2,+0.3
Detroit Mercy,219-221-14,49.8%,-0.6,-0.2
Bucknell,103-104-2,49.8%,1.9,+0.4
NC Greensboro,196-198-8,49.8%,-0.1,+0.4
Indiana,177-179-8,49.7%,5.2,+0.3
Oregon St,249-252-6,49.7%,-3.6,-0.1
Saint Mary's,239-242-6,49.7%,4.6,0.0
Binghamton,75-76-4,49.7%,-5.1,-0.9
Hou Christian,76-77-3,49.7%,-7.3,-0.5
Fresno St,210-213-6,49.7%,1.2,-0.2
Arizona St,248-252-12,49.6%,1.0,-0.1
N Alabama,61-62-1,49.6%,-2.1,+0.6
Siena,164-167-10,49.6%,0.0,-0.1
Southern Miss,216-220-8,49.5%,-1.2,-0.1
Vermont,95-97-6,49.5%,5.6,+0.3
Florida Intl,189-193-10,49.5%,-3.8,-0.6
Samford,189-193-7,49.5%,-0.6,-0.7
N Kentucky,95-97-2,49.5%,0.7,-0.2
Jacksonville,89-91-3,49.4%,-2.9,-0.2
Texas So,85-87-5,49.4%,0.2,+0.1
Colorado St,196-201-10,49.4%,1.7,+0.8
Arkansas,232-238-6,49.4%,3.6,0.0
Middle Tenn,223-229-6,49.3%,1.3,+0.1
Louisiana,221-227-15,49.3%,0.8,0.0
Boise St,219-225-5,49.3%,2.1,+0.4
Missouri St,232-239-10,49.3%,1.6,-0.2
Tulane,188-194-9,49.2%,-3.5,-0.9
Youngstown St,187-193-12,49.2%,-3.3,-0.2
SMU,185-191-11,49.2%,1.7,-0.5
CS Fullerton,229-237-11,49.1%,-2.8,-0.2
Kansas City,112-116-3,49.1%,-4.2,-0.4
Lindenwood,28-29-1,49.1%,-9.4,-0.6
Oklahoma,220-228-8,49.1%,4.1,-0.1
Alabama St,82-85-4,49.1%,-1.4,-0.2
Albany,79-82-4,49.1%,-0.5,+0.7
High Point,78-81-0,49.1%,-1.4,-1.5
SC Upstate,77-80-4,49.0%,-5.3,-0.7
San Francisco,227-236-10,49.0%,-0.2,-0.1
Richmond,201-209-7,49.0%,2.2,+0.2
Pittsburgh,174-181-13,49.0%,4.3,-0.2
Oregon,264-275-9,49.0%,2.8,0.0
Wright St,217-226-13,49.0%,1.9,+0.3
Nicholls,72-75-2,49.0%,-3.6,-0.2
Longwood,72-75-3,49.0%,-6.8,+0.7
Iona,158-165-8,48.9%,3.0,+0.1
Pepperdine,250-261-6,48.9%,-2.9,-0.7
Winthrop,89-93-2,48.9%,3.5,0.0
Mississippi,223-233-9,48.9%,2.5,-0.9
Rider,154-161-4,48.9%,-0.2,0.0
Loyola Chi,216-226-18,48.9%,-0.3,-0.5
NC State,183-192-12,48.8%,3.0,+0.6
N Colorado,141-148-8,48.8%,-0.5,-0.1
Grand Canyon,80-84-3,48.8%,4.7,-0.2
Wyoming,197-207-10,48.8%,-1.2,-0.1
Clemson,168-177-8,48.7%,4.3,0.0
DePaul,165-174-8,48.7%,-2.3,-0.6
Troy,165-174-6,48.7%,-1.5,+0.2
UC Davis,144-152-8,48.7%,-2.5,-0.2
Lehigh,88-93-1,48.6%,-0.9,0.0
S Illinois,224-237-13,48.6%,0.7,-0.2
Bradley,240-254-11,48.6%,0.2,+0.6
SIU Edward,119-126-4,48.6%,-5.8,-0.5
C Michigan,219-232-18,48.6%,-3.8,-0.3
Mercer,118-125-3,48.6%,-0.4,-0.7
