Team,Over Record,Over %,Under %,Total +/-
Wichita St,95-95-1,50.0%,50.0%,+1.0
Bradley,114-114-1,50.0%,50.0%,+1.3
N Texas,40-40-0,50.0%,50.0%,-0.6
Santa Clara,43-43-0,50.0%,50.0%,+0.9
VMI,70-70-1,50.0%,50.0%,-0.3
Brown,26-26-0,50.0%,50.0%,-0.9
Harvard,29-29-0,50.0%,50.0%,-0.7
St Thomas,15-15-1,50.0%,50.0%,+2.4
Alabama,112-113-3,49.8%,50.2%,+0.6
NC Greensboro,78-79-2,49.7%,50.3%,+0.4
USC,71-72-2,49.7%,50.4%,-0.1
Samford,71-72-1,49.7%,50.4%,+1.6
N Iowa,99-101-1,49.5%,50.5%,+0.6
Siena,49-50-1,49.5%,50.5%,+1.5
C Michigan,97-99-2,49.5%,50.5%,+1.3
Texas Tech,93-95-3,49.5%,50.5%,+0.6
Robert Morris,40-41-3,49.4%,50.6%,+0.3
Tenn Tech,40-41-0,49.4%,50.6%,+1.1
SE Missouri St,39-40-2,49.4%,50.6%,+1.0
Iona,38-39-1,49.4%,50.7%,-0.3
Drexel,38-39-2,49.4%,50.7%,+1.5
Vanderbilt,112-115-3,49.3%,50.7%,+0.5
G Washington,99-102-3,49.3%,50.8%,+1.6
Buffalo,97-100-2,49.2%,50.8%,+0.4
TCU,96-99-3,49.2%,50.8%,+0.9
New Mexico St,31-32-1,49.2%,50.8%,-0.2
Valparaiso,91-94-0,49.2%,50.8%,+0.4
UMass Lowell,58-60-2,49.2%,50.9%,+1.1
Stony Brook,56-58-1,49.1%,50.9%,+0.6
Bucknell,81-84-2,49.1%,50.9%,+1.0
Norfolk St,27-28-0,49.1%,50.9%,-1.6
Columbia,27-28-1,49.1%,50.9%,+1.4
CS Bakersfield,27-28-0,49.1%,50.9%,-0.4
Indiana,102-106-1,49.0%,51.0%,-0.3
Marshall,51-53-1,49.0%,51.0%,+1.6
Akron,100-104-2,49.0%,51.0%,+1.7
St Bonaventure,100-104-2,49.0%,51.0%,+0.4
Miami,95-99-3,49.0%,51.0%,+1.4
Oregon,61-64-1,48.8%,51.2%,0.0
N Illinois,101-106-4,48.8%,51.2%,+0.1
Hawai'i,20-21-0,48.8%,51.2%,-2.3
NW State,38-40-1,48.7%,51.3%,-0.3
Mt St Mary's,36-38-4,48.7%,51.4%,+0.1
Sacred Heart,35-37-1,48.6%,51.4%,+1.8
Lehigh,69-73-0,48.6%,51.4%,+1.7
Bethune,17-18-0,48.6%,51.4%,-2.3
The Citadel,67-71-1,48.6%,51.5%,-0.1
