Rank,Hotness Score,Matchup,Time,Location
1,99.5,#4 Tennessee  at  #11 Florida,7:00 PM,Exactech Arena at the Stephen C. O'Connell Center
2,99.0,#12 Michigan  at  #19 UCLA,10:00 PM,Pauley Pavilion presented by Wescom
3,98.0,#24 Pittsburgh  at  #2 Duke,7:00 PM,Cameron Indoor Stadium
3,98.0,#15 Texas Tech  at  #34 BYU,9:00 PM,Marriott Center
5,97.9,#25 Cincinnati  at  #17 Baylor,8:00 PM,Paul and Alejandra Foster Pavilion
6,97.6,#9 Arizona  at  #39 W Virginia,7:00 PM,WVU Coliseum
7,97.3,#14 Kentucky  at  #44 Georgia,7:00 PM,Stegeman Coliseum
8,97.2,#1 Auburn  at  #32 Texas,9:00 PM,Moody Center
9,96.6,#43 S Methodist  at  #30 N Carolina,9:00 PM,Dean E. Smith Center
10,96.4,#23 Miss State  at  #52 Vanderbilt,9:00 PM,Memorial Gymnasium
11,96.3,#26 St Johns  at  #51 Xavier,6:30 PM,Cintas Center
12,96.0,#36 Nebraska  at  #48 Iowa,8:00 PM,Carver-Hawkeye Arena
13,95.9,#35 Clemson  at  #47 Louisville,7:00 PM,KFC Yum! Center
14,94.4,#63 Utah  at  #6 Iowa St,8:00 PM,James H. Hilton Coliseum
15,94.1,#55 LSU  at  #49 Missouri,9:00 PM,Mizzou Arena
16,93.8,#75 Georgetown  at  #13 Marquette,8:00 PM,Fiserv Forum
17,88.4,#106 UNLV  at  #61 Boise St,10:30 PM,ExtraMile Arena
18,87.4,#80 Kansas St  at  #104 Oklahoma St,8:00 PM,Gallagher-Iba Arena
19,85.0,#97 GA Tech  at  #110 Syracuse,7:00 PM,JMA Wireless Dome
20,82.2,#156 Loyola Mymt  at  #56 St Marys,11:00 PM,University Credit Union Pavilion
20,82.2,#58 New Mexico  at  #159 Wyoming,10:00 PM,Arena-Auditorium
22,78.7,#154 Tulane  at  #103 UAB,7:30 PM,Bartow Arena
23,75.8,#41 Utah St  at  #208 San Jose St,10:00 PM,Provident Credit Union Event Center
24,65.7,#148 IL-Chicago  at  #210 Missouri St,8:00 PM,Great Southern Bank Arena
25,62.5,#264 Fresno St  at  #89 Colorado St,9:00 PM,Moby Arena
26,61.8,#229 Central Mich  at  #152 Akron,7:00 PM,James A. Rhodes Arena
27,56.2,#178 Miami (OH)  at  #243 Ball St,7:00 PM,Worthen Arena
28,42.3,#324 E Michigan  at  #169 Toledo,7:00 PM,Savage Arena
29,41.6,#155 Ohio  at  #339 Buffalo,7:00 PM,Alumni Arena
29,41.6,#138 Kent St  at  #349 N Illinois,7:00 PM,NIU Convocation Center
31,40.6,#266 Tulsa  at  #251 UTSA,8:00 PM,Convocation Center
32,35.6,#262 Bowling Grn  at  #285 W Michigan,7:00 PM,University Arena in Read Fieldhouse
33,28.3,#253 SIU Edward  at  #333 E Illinois,8:30 PM,Groniger Arena
34,24.1,#265 NC Central  at  #345 Morgan St,4:00 PM,Talmadge L. Hill Field House
