Team,ATS Record,Cover %,MOV,ATS +/-
High Point,61-58-1,51.3%,0.2,-0.3
N Kentucky,62-59-0,51.2%,2.5,+1.0
Iowa St,166-158-11,51.2%,0.4,+0.2
Furman,148-141-4,51.2%,0.9,+0.4
San Diego St,128-122-9,51.2%,3.2,+0.2
Nebraska,193-184-7,51.2%,-1.6,+0.1
Indiana,173-165-4,51.2%,2.2,+0.5
Manhattan,174-166-9,51.2%,-1.4,-0.3
Sacred Heart,65-62-0,51.2%,-3.3,+0.4
Wisconsin,131-125-9,51.2%,5.5,+0.5
Mt St Mary's,67-64-2,51.2%,-3.4,+0.3
New Hampshire,67-64-1,51.2%,-3.5,+0.5
Jackson St,70-67-1,51.1%,-5.1,-0.3
Montana,122-117-7,51.1%,3.5,+1.1
Boston College,196-188-13,51.0%,-3.2,-0.3
Coastal Car,75-72-2,51.0%,0.6,+0.4
Drake,181-174-7,51.0%,-1.2,-0.1
Illinois Chicago,212-204-7,51.0%,-2.2,-0.2
N Colorado,113-109-6,50.9%,-0.7,+0.1
Buffalo,175-169-6,50.9%,-1.7,0.0
Georgetown,177-171-6,50.9%,0.2,+0.1
Austin Peay,160-155-8,50.8%,0.3,-0.2
Cincinnati,129-125-6,50.8%,4.8,+0.3
Clemson,165-160-5,50.8%,1.2,-0.2
Saint Louis,168-163-6,50.8%,0.7,-0.2
Idaho,208-202-4,50.7%,-2.9,+0.3
Saint Joseph's,178-173-10,50.7%,0.2,+0.2
Bucknell,71-69-2,50.7%,-0.2,+0.1
F Dickinson,73-71-0,50.7%,-4.5,+0.2
Louisiana,150-146-7,50.7%,2.4,+0.5
Tenn Tech,161-157-12,50.6%,0.2,-0.2
Penn St,202-197-10,50.6%,-2.3,+0.2
UCF,120-117-6,50.6%,1.4,+0.1
Saint Peter's,171-167-9,50.6%,-3.1,+0.1
Utah Tech,44-43-2,50.6%,-4.3,+0.2
Hofstra,139-136-10,50.6%,1.5,+0.2
Marquette,141-138-7,50.5%,4.5,0.0
Georgia,196-192-5,50.5%,-1.8,+0.2
Liberty,49-48-1,50.5%,-0.9,-0.5
Richmond,159-156-13,50.5%,2.2,+0.9
UTSA,106-104-3,50.5%,-1.9,+0.9
Tulsa,160-157-9,50.5%,1.0,0.0
Portland,224-220-10,50.5%,-4.4,0.0
UMBC,58-57-2,50.4%,-3.6,+0.6
Prairie View,68-67-4,50.4%,-8.2,-0.3
N Illinois,222-219-9,50.3%,-3.3,-0.2
Arkansas,154-152-4,50.3%,2.5,-0.4
N Texas,167-165-7,50.3%,-2.4,-0.5
NC State,168-166-10,50.3%,2.0,+0.6
Butler,137-136-6,50.2%,3.1,-0.2
Columbia,156-155-2,50.2%,-2.2,-0.5
Elon,166-165-5,50.2%,-3.5,0.0
N Arizona,180-179-4,50.1%,-1.8,-0.5
Santa Clara,174-173-9,50.1%,-0.3,-0.4
Rice,205-204-10,50.1%,-3.0,+0.3
Texas So,63-63-4,50.0%,-4.7,+1.1
Maryland ES,71-71-3,50.0%,-9.5,-0.8
Army,64-64-3,50.0%,-4.0,-1.0
St Bonaventure,167-167-12,50.0%,-0.9,-0.3
N Florida,66-66-0,50.0%,-4.2,+0.2
Utah,154-154-10,50.0%,1.9,-0.4
Tennessee St,182-183-2,49.9%,-3.5,-0.3
NC Wilmington,164-165-9,49.9%,-0.8,-0.1
Drexel,154-155-10,49.8%,0.4,0.0
Montana St,156-157-4,49.8%,0.7,-0.6
Houston,146-147-6,49.8%,0.4,+0.8
Jacksonville St,147-148-8,49.8%,-2.0,-0.2
Chattanooga,137-138-5,49.8%,2.1,-0.2
Xavier,122-123-11,49.8%,6.0,+0.2
SIU Edward,110-111-4,49.8%,-5.5,-0.2
E Michigan,203-205-7,49.8%,-2.1,+0.1
Northwestern,193-195-8,49.7%,-2.5,+0.1
Denver,186-188-5,49.7%,-2.1,-0.2
Arizona St,184-186-8,49.7%,-0.2,0.0
Wyoming,173-175-8,49.7%,-0.9,0.0
N Dakota St,85-86-1,49.7%,5.3,+0.9
Wake Forest,174-176-9,49.7%,-0.6,0.0
West Virginia,164-166-4,49.7%,1.9,+0.3
UT Rio Grande,77-78-4,49.7%,-5.7,-0.3
Stanford,152-154-7,49.7%,2.1,-0.2
Brown,148-150-9,49.7%,-2.6,-0.4
Pittsburgh,147-149-7,49.7%,0.6,-0.2
Lamar,73-74-4,49.7%,-1.5,+0.3
Air Force,201-204-5,49.6%,-4.2,-0.3
Wichita St,133-135-8,49.6%,2.5,-0.2
San Diego,189-192-7,49.6%,-2.0,+0.2
Incarnate Word,63-64-0,49.6%,-3.9,-0.6
FGCU,60-61-0,49.6%,0.5,+0.4
VMI,120-122-1,49.6%,-2.9,-0.8
New Mexico St,118-120-10,49.6%,3.5,+0.1
Charlotte,177-180-8,49.6%,-0.3,-0.3
San Francisco,167-170-5,49.6%,0.7,0.0
Louisville,140-143-4,49.5%,3.0,-0.3
Louisiana Tech,134-137-1,49.5%,3.6,-0.4
Villanova,129-132-3,49.4%,4.6,0.0
Missouri St,171-175-10,49.4%,1.7,-0.1
UL Monroe,155-159-5,49.4%,-3.8,+0.1
Merrimack,36-37-1,49.3%,-0.8,-0.6
St John's,175-180-6,49.3%,-1.3,-0.2
Alcorn St,70-72-3,49.3%,-8.8,-0.5
Troy,139-143-5,49.3%,-1.0,-0.2
Rutgers,203-209-7,49.3%,-3.4,-0.7
SMU,149-154-10,49.2%,1.6,-0.4
Pepperdine,208-215-6,49.2%,-2.7,-0.4
Youngstown St,171-177-9,49.1%,-1.8,0.0
Holy Cross,85-88-0,49.1%,-2.3,+0.4
E Kentucky,141-146-7,49.1%,-0.9,-0.4
S Illinois,165-171-8,49.1%,1.0,-0.4
Marist,188-195-9,49.1%,-4.7,-0.2
UTEP,157-163-11,49.1%,0.7,-0.3
Kansas City,101-105-2,49.0%,-2.8,-0.2
Omaha,98-102-2,49.0%,-3.4,-0.7
Colorado,171-178-3,49.0%,0.9,+0.4
Jacksonville,71-74-3,49.0%,-0.9,+0.6
Nicholls,47-49-2,49.0%,-4.2,+0.4
NJIT,69-72-0,48.9%,-4.9,-0.5
Winthrop,42-44-1,48.8%,4.1,+0.5
Oregon St,209-219-6,48.8%,-3.9,-0.5
South Carolina,181-190-5,48.8%,-0.6,-0.1
Fairfield,172-181-10,48.7%,-1.4,-0.4
CS Fullerton,187-197-8,48.7%,-2.0,-0.1
Seton Hall,167-176-3,48.7%,0.2,-0.6
CS Northridge,183-193-6,48.7%,-1.3,-0.6
Little Rock,161-170-11,48.6%,-0.4,0.0
Georgia St,124-131-6,48.6%,0.9,+0.4
Florida Atlantic,124-131-6,48.6%,-3.9,-0.1
UMass,178-188-7,48.6%,0.3,-0.6
G Washington,167-177-6,48.6%,-0.8,-0.3
Loyola Mymt,214-228-10,48.4%,-4.9,-0.3
Old Dominion,153-163-10,48.4%,2.1,+0.3
Virginia,137-146-4,48.4%,1.2,-0.5
Portland St,147-157-8,48.4%,1.0,-0.3
Kansas St,160-171-8,48.3%,1.1,-0.1
C Connecticut,72-77-1,48.3%,-4.5,-0.1
W Carolina,169-181-9,48.3%,-1.4,-0.3
New Orleans,138-148-5,48.3%,-2.1,-0.5
California,189-203-4,48.2%,-1.4,-0.8
Sacramento St,186-200-12,48.2%,-5.6,-0.8
Mercer,79-85-2,48.2%,0.2,0.0
American,90-97-3,48.1%,-2.2,-0.9
William & Mary,178-192-10,48.1%,-1.8,-0.3
Abl Christian,38-41-2,48.1%,0.7,-0.3
Towson,160-173-9,48.1%,-3.9,-0.6
W Michigan,179-194-10,48.0%,-0.9,-0.4
Miami,154-167-7,48.0%,0.3,-0.6
Washington St,199-216-5,48.0%,-3.1,0.0
C Michigan,198-215-16,47.9%,-3.3,-0.6
Virginia Tech,174-189-3,47.9%,-0.3,+0.1
Mississippi,161-175-4,47.9%,0.7,-0.6
UCSB,136-148-9,47.9%,1.8,-1.0
UCLA,131-143-7,47.8%,2.8,-0.6
