2025-01-12,NBA,1.0,Minnesota,1.0,-7.5,7.5,218.5,Phoenix,Minnesota
2025-01-12,NBA,1.0,Indiana,1.0,-3.5,3.5,228.0,Miami,Indiana
2025-01-12,NBA,1.0,Cleveland,1.0,-11.5,11.5,222.5,Charlotte,Cleveland
2025-01-12,NBA,1.0,Memphis,1.0,-5.0,5.0,228.5,Denver,Memphis
2025-01-12,NBA,5.0,Washington,1.0,5.5,-5.5,230.5,Detroit,Washington
2025-01-12,NBA,5.0,Portland,1.0,3.5,-3.5,229.0,Atlanta,Portland
2025-01-12,NBA,1.0,New York,1.0,-9.5,9.5,219.5,Brooklyn,New York
2025-01-12,NBA,1.0,Okla City,1.0,-8.0,8.0,229.0,Dallas,Okla City
2025-01-12,NBA,5.0,Chicago,1.0,4.5,-4.5,234.0,Houston,Chicago
2025-01-12,NBA,1.0,LA Clippers,1.0,-9.5,9.5,221.5,Utah,LA Clippers
