Rank,Hotness Score,Matchup,Time,Location
1,98.4,#8 Purdue  at  #14 Alabama,7:00 PM,Coleman Coliseum
2,91.3,#80 California  at  #60 Kansas St,9:00 PM,Bramlage Coliseum
3,91.1,#66 Pittsburgh  at  #79 West Virginia,6:00 PM,WVU Coliseum
4,82.1,#164 San Jose St  at  #32 Michigan St,6:30 PM,Jack Breslin Student Events Center
5,75.7,#179 Loyola Chi  at  #93 Wichita St,7:30 PM,Charles Koch Arena
6,71.4,#233 Florida Intl  at  #38 LSU,8:00 PM,Pete Maravich Assembly Center
7,61.8,#260 Monmouth  at  #103 Seton Hall,7:00 PM,Prudential Center
8,52.8,#284 C Michigan  vs.  #153 S Alabama,11:00 AM,McArthur Center
9,46.6,#163 Cornell  at  #312 Lafayette,6:00 PM,Kirby Sports Center
10,41.6,#325 Le Moyne  at  #173 UMass,7:00 PM,Mullins Center
11,36.7,#266 Southern Miss  at  #277 Grambling,7:30 PM,Willis Reed Court at the Fredrick C. Hobdy Center
12,34.3,#340 Green Bay  at  #205 St Thomas,8:00 PM,Lee & Penny Anderson Arena
13,33.5,#330 UMass Lowell  at  #219 Columbia,7:00 PM,Schiller Court in Francis S. Levien Gymnasium
14,17.3,#313 Charleston So  at  #336 Alabama A&M,8:00 PM,AAMU Events Center
15,15.2,#347 Alcorn St  at  #314 Howard,7:00 PM,Burr Gymnasium
16,12.8,#345 UL Monroe  at  #323 Hou Christian,8:00 PM,Sharp Gym
17,--,Benedictine University  at  #300 N Illinois,8:00 PM,Convocation Center
17,--,Elizabeth City St.  at  #199 E Carolina,7:00 PM,Williams Arena at Minges Coliseum
17,--,Bryan  at  #187 NC Asheville,6:30 PM,Kimmel Arena
17,--,Fort Valley State  at  #299 Georgia St,7:00 PM,Georgia State Convocation Center
17,--,Berea College  at  #291 Tenn Tech,7:00 PM,Hooper Eblen Center
17,--,Pittsburgh-Greensburg  at  #215 Robert Morris,7:00 PM,UPMC Events Center
17,--,Voorhees  at  #318 W Carolina,7:00 PM,Ramsey Center
17,--,John Jay College  at  #225 Princeton,7:00 PM,Jadwin Gymnasium
17,--,Washington Adventist  at  #306 NC A&T,7:00 PM,Corbett Sports Center
17,--,Mid-America Christian  at  #204 Campbell,7:00 PM,Gore Arena/Pope Convocation Center
